"DEV_ID","DEV_NAME","DEV_TYPE","DEV_DATE","STA_LAT_DMS","STA_LONG_DMS","STA_ELEV","STA_LOC"
358.00,"Mt. Union Repeater","Rptr. Batt.",4/28/1992 0:00:00,"34 24 54.3","112 24 16.9",7980.00,"Top of Mt. Union, 10 mi. SSE of Prescott"
754.00,"Sacaton Peak","Rptr. Batt.",6/11/1996 0:00:00,"33 00 09.5","111 40 26.8",2720.00,"4.5 miles E. of the SR387 / I-10 junction"
770.00,"Tat Momolikot Dam","Precip.",1/29/1998 0:00:00,"32 39 04.2","111 55 42.0",1530.00,"19 miles SW of Casa Grande"
773.00,"Tat Momolikot Dam","Stream PT",1/19/2000 0:00:00,"32 39 04.2","111 55 42.0",1530.00,"19 miles SW of Casa Grande"
775.00,"Gila R. @ Maricopa Rd","Precip.",4/6/1995 0:00:00,"33 10 15.0","112 00 21.7",1135.00,"Gila River at Maricopa Road bridge"
778.00,"Gila R. @ Maricopa Rd","Stream PT",4/6/1995 0:00:00,"33 10 15.0","112 00 21.7",1135.00,"Gila River at Maricopa Road bridge"
780.00,"Gila R. @ Olberg","Precip.",4/12/1995 0:00:00,"33 05 13.9","111 41 12.6",1305.00,"Gila River at Olberg Bridge, 3 mi. ENE of Sacaton"
783.00,"Gila R. @ Olberg","Non Subm PT",4/12/1995 0:00:00,"33 05 13.9","111 41 12.6",1305.00,"Gila River at Olberg Bridge, 3 mi. ENE of Sacaton"
785.00,"Santa Cruz R. @ SR 84","Precip.",3/16/1994 0:00:00,"32 52 46.3","111 49 44.2",1350.00,"3 mi. West of SR 93 (Casa Grande) on SR 84"
788.00,"Santa Cruz R. @ SR 84","Stream PT",3/16/1994 0:00:00,"32 52 46.3","111 49 44.2",1350.00,"3 mi. West of SR 93 (Casa Grande) on SR 84"
793.00,"Greene Wash @ SR 84","Stream PT",3/23/1994 0:00:00,"32 52 46.0","111 56 01.4",1310.00,"10 mi. West of SR 93 (Casa Grande) on SR 84"
795.00,"Santa Rosa Wash @ SR 84","Precip.",3/16/1994 0:00:00,"32 52 46.2","111 56 48.3",1300.00,"11 mi. West of SR 93 (Casa Grande) on SR 84"
798.00,"Santa Rosa Wash @ SR 84","Stream PT",3/16/1994 0:00:00,"32 52 46.2","111 56 48.3",1300.00,"11 mi. West of SR 93 (Casa Grande) on SR 84"
4500.00,"Cesar Chavez Park","Precip.",8/15/1990 0:00:00,"33 22 09.6","112 08 31.8",1060.00,"South end of park, 35th Ave. and Baseline Rd."
4504.00,"Gateway Community College","Dewpoint",9/9/2004 0:00:00,"33 27 03.6","111 59 44.0",1125.00,"40th Street at Van Buren"
4505.00,"Gateway Community College","Precip.",12/16/2003 0:00:00,"33 27 03.6","111 59 44.0",1125.00,"40th Street at Van Buren"
4506.00,"Gateway Community College","Humidity",9/9/2004 0:00:00,"33 27 03.6","111 59 44.0",1125.00,"40th Street at Van Buren"
